EFO	0000330	childhood acute myeloid leukemia	DOID	DOID:0070323	childhood acute myeloid leukemia
EFO	0000736	well-differentiated liposarcoma	DOID	DOID:5690	well-differentiated liposarcoma
EFO	0002501	anaplastic oligodendroglioma	DOID	DOID:7154	anaplastic oligodendroglioma
EFO	0003029	acute basophilic leukemia	DOID	DOID:0080795	acute basophilic leukemia
EFO	0003063	polymyositis	DOID	DOID:0080745	polymyositis
EFO	0003085	dedifferentiated liposarcoma	DOID	DOID:0080531	dedifferentiated liposarcoma
EFO	0003103	urinary tract infection	DOID	DOID:0080784	urinary tract infection
EFO	0005140	autoimmune disease	DOID	DOID:417	autoimmune disease
EFO	0006928	motion sickness	DOID	DOID:2951	motion sickness
EFO	0007940	chronic venous insufficiency	DOID	DOID:0050853	chronic venous insufficiency
EFO	0008601	pemphigus foliaceus	DOID	DOID:0080850	pemphigus foliaceus
EFO	0008602	paraneoplastic pemphigus	DOID	DOID:0080852	paraneoplastic pemphigus
EFO	0008604	IgA pemphigus	DOID	DOID:0080851	IgA pemphigus
EFO	0009006	hyperandrogenism	DOID	DOID:11613	hyperandrogenism
EFO	0009021	Bardet-Biedl syndrome 1	DOID	DOID:0110123	Bardet-Biedl syndrome 1
EFO	0009022	Bardet-Biedl syndrome 10	DOID	DOID:0110132	Bardet-Biedl syndrome 10
EFO	0009023	Bardet-Biedl syndrome 12	DOID	DOID:0110134	Bardet-Biedl syndrome 12
EFO	0009024	Bardet-Biedl syndrome 4	DOID	DOID:0110126	Bardet-Biedl syndrome 4
EFO	0009025	Bardet-Biedl syndrome 5	DOID	DOID:0110127	Bardet-Biedl syndrome 5
EFO	0009026	Bardet-Biedl syndrome 7	DOID	DOID:0110129	Bardet-Biedl syndrome 7
EFO	0009027	Bardet-Biedl syndrome 9	DOID	DOID:0110131	Bardet-Biedl syndrome 9
EFO	0009044	Fanconi anemia complementation group A	DOID	DOID:0111095	Fanconi anemia complementation group A
EFO	0009045	Fanconi anemia complementation group F	DOID	DOID:0111088	Fanconi anemia complementation group F
EFO	0009046	Fanconi anemia complementation group G	DOID	DOID:0111086	Fanconi anemia complementation group G
EFO	0009055	RIDDLE syndrome	DOID	DOID:0090113	RIDDLE syndrome
EFO	0009104	hyperuricemia	DOID	DOID:1920	hyperuricemia
EFO	0009159	combined oxidative phosphorylation deficiency 33	DOID	DOID:0111495	combined oxidative phosphorylation deficiency 33
EFO	0009365	vaginal discharge	DOID	DOID:3767	vaginal discharge
EFO	0009475	cervical polyp	DOID	DOID:0060325	cervical polyp
EFO	0009492	cardiac arrest	DOID	DOID:0060319	cardiac arrest
EFO	0009556	mineral metabolism disease	DOID	DOID:0050032	mineral metabolism disease
EFO	0009619	neuroma	DOID	DOID:2001	neuroma
EFO	0009706	latent autoimmune diabetes in adults	DOID	DOID:0080846	latent autoimmune diabetes in adults
EFO	0009782	progesterone-receptor positive breast cancer	DOID	DOID:0060077	progesterone-receptor positive breast cancer
EFO	0010261	Paganini-Miozzo syndrome	DOID	DOID:0111843	Paganini-Miozzo syndrome
EFO	0010266	Charcot-Marie-Tooth disease type 1G	DOID	DOID:0111560	Charcot-Marie-Tooth disease type 1G
EFO	0010269	amenorrhea	DOID	DOID:13938	amenorrhea
EFO	0010278	Shukla-Vernon syndrome	DOID	DOID:0111841	Shukla-Vernon syndrome
EFO	0010561	neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies	DOID	DOID:0070346	neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies
EFO	0010663	neurooculocardiogenitourinary syndrome	DOID	DOID:0111675	neurooculocardiogenitourinary syndrome
EFO	1001248	non-alcoholic fatty liver	DOID	DOID:0080546	non-alcoholic fatty liver
EFO	1001249	non-alcoholic steatohepatitis	DOID	DOID:0080547	non-alcoholic steatohepatitis
EFO	1001516	ovarian serous carcinoma	DOID	DOID:0050933	ovarian serous carcinoma
EFO	1001898	mucositis	DOID	DOID:0080178	mucositis
EFO	1001943	childhood acute megakaryoblastic leukemia	DOID	DOID:0080794	childhood acute megakaryoblastic leukemia
EFO	1001964	pancreatic somatostatinoma	DOID	DOID:4432	pancreatic somatostatinoma
EFO	1002001	core binding factor acute myeloid leukemia	DOID	DOID:0080796	core binding factor acute myeloid leukemia
EFO	1002027	osteomalacia	DOID	DOID:10573	osteomalacia
UMLS	C0003078	Aniseikonia	DOID	DOID:0050304	aniseikonia
UMLS	C0004058	Allergy to aspirin	DOID	DOID:0040002	aspirin allergy
UMLS	C0005592	Bird Fancier's Lung	DOID	DOID:13891	bird fancier's lung
UMLS	C0007131	Non-Small Cell Lung Carcinoma	DOID	DOID:3908	lung non-small cell carcinoma
UMLS	C0008055	Chikungunya Fever	DOID	DOID:0050012	chikungunya
UMLS	C0014742	Erythema Multiforme	DOID	DOID:0050185	erythema multiforme
UMLS	C0015634	Farmer's Lung	DOID	DOID:14453	farmer's lung
UMLS	C0016045	fibroma	DOID	DOID:0050871	fibroma
UMLS	C0016627	Influenza in Birds	DOID	DOID:4492	avian influenza
UMLS	C0019097	Hemorrhagic Fever, Argentinian	DOID	DOID:0050194	Argentine hemorrhagic fever
UMLS	C0024110	Lung Abscess	DOID	DOID:0060317	lung abscess
UMLS	C0024115	Lung diseases	DOID	DOID:850	lung disease
UMLS	C0024814	Marinesco-Sjogren syndrome	DOID	DOID:0080195	Marinesco-Sjogren syndrome
UMLS	C0026718	Mucormycosis	DOID	DOID:8485	mucormycosis
UMLS	C0029925	Ovarian Carcinoma	DOID	DOID:4001	ovarian carcinoma
UMLS	C0032858	Powassan Encephalitis	DOID	DOID:0050179	Powassan encephalitis
UMLS	C0035793	Rocky Mountain Spotted Fever	DOID	DOID:0050052	Rocky Mountain spotted fever
UMLS	C0037769	West Syndrome	DOID	DOID:0050562	West syndrome
UMLS	C0037785	specific developmental disorder	DOID	DOID:0060038	specific developmental disorder
UMLS	C0038757	Allergy to sulfonamide	DOID	DOID:0040015	sulfonamide allergy
UMLS	C0040255	Tinea imbricata	DOID	DOID:0050116	tinea imbricata
UMLS	C0042470	Venezuelan hemorrhagic fever	DOID	DOID:0050196	Venezuelan hemorrhagic fever
UMLS	C0149782	Squamous cell carcinoma of lung	DOID	DOID:3907	lung squamous cell carcinoma
UMLS	C0149925	Small cell carcinoma of lung	DOID	DOID:5409	lung small cell carcinoma
UMLS	C0152013	Adenocarcinoma of lung (disorder)	DOID	DOID:3910	lung adenocarcinoma
