SCHEM,A0001,( -)-Ibuprofen,CHEBI:CHEBI:5855
SCHEM,A0002,(-)-Catechin,CHEBI:CHEBI:33992
SCHEM,A0003,"(14)C-9,10-dihydroxystearic acid",
SCHEM,A0004,"(14)C-cis-9,10-epoxystearic acid",
SCHEM,A0005,"(2E,4E,6Z)-7-(2-alkoxy-3,5-dialkylbenzene)-3-methylocta-2,4,6-trienoic acid",
SCHEM,A0006,(2R)-2-Hydroxy-3-(phosphonooxy)-propanal,CHEBI:CHEBI:29052
SCHEM,A0007,"(3,4-Dihydroxyphenylamino)-2-imidazoline",MESH:C011775
SCHEM,A0008,"(5alpha)-7,8-Didehydro-4,5-epoxy-3-hydroxymorphinan-6-one",
SCHEM,A0009,"(6-(4-(2-piperidin-1-ylethoxy)phenyl))-3-pyridin-4-ylpyrazolo(1,5-a)pyrimidine",MESH:C516138
SCHEM,A0010,(R)-3-Hydroxybutyric acid,CHEBI:CHEBI:17066
SCHEM,A0011,(R)-5-Diphosphomevalonate,CHEBI:CHEBI:15899
SCHEM,A0012,(R)-5-Phosphomevalonate,CHEBI:CHEBI:17436
SCHEM,A0013,"(S)-2,3-Epoxysqualene",CHEBI:CHEBI:15441
SCHEM,A0014,(S)-3-Hydroxy-3-methylglutaryl-CoA,CHEBI:CHEBI:15467
SCHEM,A0015,(S)-3-Hydroxybutanoyl-CoA,CHEBI:CHEBI:15453
SCHEM,A0016,(S)-3-Hydroxydodecanoyl-CoA,CHEBI:CHEBI:27668
SCHEM,A0017,(S)-3-Hydroxyhexadecanoyl-CoA,CHEBI:CHEBI:27402
SCHEM,A0018,(S)-3-Hydroxytetradecanoyl-CoA,CHEBI:CHEBI:27466
SCHEM,A0019,(S)-Hydroxydecanoyl-CoA,CHEBI:CHEBI:28325
SCHEM,A0020,(S)-Hydroxyhexanoyl-CoA,CHEBI:CHEBI:28276
SCHEM,A0021,(S)-Hydroxyoctanoyl-CoA,CHEBI:CHEBI:28632
SCHEM,A0022,(S)-Malate,CHEBI:CHEBI:15589
SCHEM,A0023,"(S,R)-3-(4-hydroxyphenyl)-4,5-dihydro-5-isoxazole acetic acid methyl ester",
SCHEM,A0024,"(Z,Z,Z)-Icosatri-8,11,14-enoic acid",
SCHEM,A0025,05141 Cathepsin S inhibitor,
SCHEM,A0026,"1,10-Bis(carboxymethylthiodecane)",MESH:C062079
SCHEM,A0027,"1,10-Phenanthroline",CHEBI:CHEBI:44975
SCHEM,A0028,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ion(3-)",
SCHEM,A0029,"1,2-Bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",MESH:C070379
SCHEM,A0030,"1,2-Bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",CHEBI:CHEBI:60888
SCHEM,A0031,"1,2-Dipalmitoylphosphatidylcholine",CHEBI:CHEBI:18899
SCHEM,A0032,"1,2-Dithiol-3-thione",CHEBI:CHEBI:50866
SCHEM,A0033,"1,25-Dihydroxy-previtamin D(3)",MESH:C025169
SCHEM,A0034,"1,25-Dihydroxyvitamin D",MESH:C097949
SCHEM,A0035,"1,3-Bisphospho-D-glycerate",CHEBI:CHEBI:16001
SCHEM,A0036,"1,3-Cyclopentanedicarboxylic acid",
SCHEM,A0037,"1,3-Dimethylthiourea",MESH:C038983
SCHEM,A0038,"1,3-Disubstituted Urea",
SCHEM,A0039,"1,3-diphenyl-2-oxiranyl propanone",
SCHEM,A0040,"1,4-Benzodiazepine",CHEBI:CHEBI:38431
SCHEM,A0041,"1,4-Bis(2-(3,5-dichloropyridyloxy))benzene",MESH:C028474
SCHEM,A0042,"1,5-Dihydro-fad",CHEBI:CHEBI:17877
SCHEM,A0043,"1,6-Bismaleimidohexane",MESH:C075594
SCHEM,A0044,"1,7-Dimethylxanthine",CHEBI:CHEBI:25858
SCHEM,A0045,"1,7-Phenanthroline",CHEBI:CHEBI:36418
SCHEM,A0046,1-(3-C-Ethynyl-beta-D-ribo-pentofuranosyl)cytosine,
SCHEM,A0047,1-(5-Isoquinolinesulfonyl)-2-methylpiperazine,CHEBI:CHEBI:43385
SCHEM,A0048,1-(Carboxymethylthio)tetradecane,MESH:C062078
SCHEM,A0049,1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine,CHEBI:CHEBI:17848
SCHEM,A0050,1-Alkyl-2-acetyl-sn-glycero-3-phosphocholine,CHEBI:CHEBI:36707
